Tournament ,Year,FirstSetWinner,Result,Rank Winner,Rank Looser,Rank Differance
Australian Open,2024,0,1,4,3,1
Australian Open,2023,1,1,4,3,1
Australian Open,2022,0,1,6,2,4
Australian Open,2021,1,1,1,4,−3
Australian Open,2020,1,1,2,5,−3
Australian Open,2019,1,1,1,2,−1
Australian Open,2018,1,1,1,6,−5
Australian Open,2017,1,1,17,6,11
Australian Open,2016,1,1,1,2,−1
Australian Open,2015,1,1,1,6,−5
Australian Open,2014,1,1,8,1,7
Roland Garros ,2024,1,1,3,4,−1
Roland Garros ,2023,1,1,3,4,−1
Roland Garros ,2022,1,1,5,8,−3
Roland Garros ,2021,0,1,1,5,−4
Roland Garros ,2020,0,1,2,5,−3
Roland Garros ,2019,1,1,2,4,−2
Roland Garros ,2018,1,1,1,7,−6
Roland Garros ,2017,1,1,4,3,1
Roland Garros ,2016,0,1,1,2,−1
Roland Garros ,2015,0,1,8,1,7
Roland Garros ,2014,0,1,1,2,−1
Wimbledom,2024,1,1,3,2,1
Wimbledom,2023,0,1,1,2,−1
Wimbledom,2022,0,1,1,40,−39
Wimbledom,2021,0,1,1,7,−6
Wimbledom,2020,1,1,1,2,−1
Wimbledom,2019,1,1,1,2,−1
Wimbledom,2018,1,1,12,8,4
Wimbledom,2017,1,1,3,7,−4
Wimbledom,2016,1,1,2,6,−4
Wimbledom,2015,1,1,1,2,−1
Wimbledom,2014,0,1,1,4,−3
US Open,2024,1,1,1,12,−11
US Open,2023,1,1,2,3,−1
US Open,2022,1,1,3,5,−2
US Open,2021,1,1,2,1,1
US Open,2020,1,1,1,2,−1
US Open,2019,1,1,2,5,−3
US Open,2018,1,1,6,3,3
US Open,2017,1,1,1,28,−27
US Open,2016,0,1,3,1,2
US Open,2015,1,1,1,2,−1
US Open,2014,1,1,14,10,4
