Players,Tournament,Year,TournamentType,FirstSetWinner,Result 
Jacob Fearnley,Stockholm Open,2024,ATP 250,1,1
Adrian Andreev,Stockholm Open,2024,ATP 250,0,0
August Holmgren,Stockholm Open,2024,ATP 250,1,1
Lukas Pokorny,Stockholm Open,2024,ATP 250,0,0
Laslo Djere,Stockholm Open,2024,ATP 250,1,1
Alexander Ritschard,Stockholm Open,2024,ATP 250,0,0
Zsombor Piros,Stockholm Open,2024,ATP 250,0,1
Lukas Klein,Stockholm Open,2024,ATP 250,1,0
Thiago Agustin Tirante ,Stockholm Open,2024,ATP 250,0,1
Nikola Slavic ,Stockholm Open,2024,ATP 250,1,0
Kamil Majchrzak,Stockholm Open,2024,ATP 250,1,1
Rafael Ymer,Stockholm Open,2024,ATP 250,0,0
Marc-Andrea Huesler,Stockholm Open,2024,ATP 250,1,1
Lucas Renard,Stockholm Open,2024,ATP 250,0,0
Hamad Medjedovic,Stockholm Open,2024,ATP 250,1,1
Arthur Reymond,Stockholm Open,2024,ATP 250,0,0
Jacob Fearnley,Stockholm Open,2024,ATP 250,0,1
Kamil Majchrzak,Stockholm Open,2024,ATP 250,1,0
Laslo Djere,Stockholm Open,2024,ATP 250,1,1
Hamad Medjedovic,Stockholm Open,2024,ATP 250,0,0
Thiago Agustin Tirante ,Stockholm Open,2024,ATP 250,1,1
August Holmgren,Stockholm Open,2024,ATP 250,0,0
Marc-Andrea Huesler,Stockholm Open,2024,ATP 250,1,1
Zsombor Piros,Stockholm Open,2024,ATP 250,0,0
Tallon Griekspoor ,Stockholm Open,2024,ATP 250,1,1
Pavel Kotov,Stockholm Open,2024,ATP 250,0,0
Matteo Berrettini,Stockholm Open,2024,ATP 250,1,1
Luciano Darderi,Stockholm Open,2024,ATP 250,0,0
Lorenzo Sonego,Stockholm Open,2024,ATP 250,1,1
Marc-Andrea Huesler ,Stockholm Open,2024,ATP 250,0,0
Dominic Stricker ,Stockholm Open,2024,ATP 250,1,1
